Marca,Litro,SistemaEnfriamiento,precio_venta
6,2,10,350000
5,2,10,450000
5,3,7,200000
6,2,7,350000
3,3,10,700000
5,2,10,500000
9,4,10,750000
6,2,7,200000
5,3,7,200000
